especially since, d'autant plus que
S'efforcer de faire mépriser (qqn¸ qqch.) en disant du mal¸ en niant les qualités, dénigrer
faire tous ses efforts en vue de, s'efforcer de
Signaler (qqn) comme coupable, dénoncer
Honorer d'hommages excessifs¸ combler de louanges et de flatteries, encenser
lui donner (qqch.) à profusion, combler de
le témoignage verbal ou l'écrit d'admiration ou de grande estime, les louanges, f
invectiver grossièrement qqn, engueuler
lancer des invectives, invectiver
La parole ou la suite de paroles violentes (contre qqn ou qqch.), l'invective, f
Louer excessivement ou faussement (qqn)¸ pour plaire¸ séduire, flatter
Déclarer (qqn ou qqch.) digne d'admiration ou de très grande estime, louer
Être saisi d'indignation, s'indigner
Protester vivement, s'insurger
faire l'éloge de qqn ou de qqc en mettant en valeur ses qualités¸ parfois de façon exagérée, vanter les mérites, m
La décision par laquelle le juge d'instruction déclare qu'il n'y a pas lieu de poursuivre en justice, le non-lieu
Le événement soudain et totalement imprévu qui bouleverse brusquement une situation, le coup de théâtre
Débarrasser de ce qui bouche, déboucher
Faire du tort¸ du mal (à qqn), nuire à
une firme multinationale, une multinationale
Réduire à la servitude¸ à l'esclavage, asservir
Totalement déraisonnable (m.), délirant
Totalement déraisonnable (f.), délirante
La personne spécialisée dans le travail du béton (m.), le bétonneur
La personne spécialisée dans le travail du béton (f.), la bétonneuse
l'action d'obtenir une somme d'argent¸ à titre de prêt ; cet argent, l'emprunt, m
le petit bâtiment isolé ; la petite maison dans un jardin¸ un parc, le pavillon
le lieu où l'on trouve à se loger¸ où l'on peut coucher, le gîte
Qui étonne¸ surprend par son caractère inhabituel, insolite
Une expression forte¸ soudaine et véhémente de colère ou de mécontentement, un coup de gueule
Faire souffrir de la faim en privant de vivres ou d'argent, affamer
Une personne qui jouit d'avantages matériels considérables (m.), un privilégié
Une personne qui jouit d'avantages matériels considérables (f.), une privilégiée
