un groupe de mots fixes qui forme une seule idée et fonctionne comme un seul mot dans une phrase, une locution
une locution adverbiale qui signifie « de plus »¸ « en plus » ou « également », en outre
Écrire un texte dans une forme élaborée, rédiger
to spread, répandre
the control measure, la mesure de lutte
invasive (m.), envahissant
invasive (f.), envahissante
the cement, le ciment
the pipeline, la canalisation
the fishing net, le filet de pêche
qui coûte cher (m.), coûteux
qui coûte cher (f.), coûteuse
the naked eye, l'œil nu, m
Empêcher accidentellement de fonctionner (une arme à feu¸ un mécanisme), enrayer
La surface interne (d'un contenant), la paroi
séparer de son enveloppe, décortiquer
un issue¸ passage vers un lieu plus ouvert, un débouché
de calcium (m./f.), calcaire
l'enveloppe dure (des noix¸ noisettes¸ etc.), la coquille
pioneer/trail blazer (adj.) (m.), précurseur
pioneer/trail blazer (adj.) (f.), précurseuse
Apparaître comme conséquence, ressortir de
Le passage entre deux sommets de montagne, le col
La augmentation (d'une grandeur numérique), la hausse
the refrigerant, la fluide frigorigène
Qui se produit¸ se fait plus tôt qu'il n'est d'usage (m./f.), précoce
Qui a le jugement bon (m.), judicieux
Qui a le jugement bon (f.), judicieuse
Tout petit¸ qui ne compte pas. (m./f.), infime
faire aller (qqn) avec soi, mener
in hot weather, par temps chaud
destructive (m.), destructeur
destructive (f.), destructrice
Le phénomène naturel où l'atmosphère retient la chaleur de la Terre grâce à certains gaz, L'effet de serre, m
an inconvenience, un inconvénient
thereafter, par la suite
to aim, viser
the ozone layer, la couche d'ozone
the melting (e.g. of a glacier), la fonte
emitted by (m.), dégagé par
emitted by (f.), dégagée par
restricted (m.), restreint
restricted (f.), restreinte
