1999 (date), dix-neuf cent quatre-vingt-dix-neuf
1400 (date), quatorze cents
70, soixante-dix
1100 (date), onze cents
1968 (date), dix-neuf cent soixante-huit
1914 (date), dix-neuf cent quatorze
1945 (date), dix-neuf cent quarante-cinq
1980 (date), dix-neuf cent quatre-vingts
1979 (date), dix-neuf cent soixante-dix-neuf
72, soixante-douze
1800 (date), dix-huit cents
2018, deux mille dix-huit
2026, deux mille vingt-six
1200 (date), douze cents
17, dix-sept
78, soixante-dix-huit
1300 (date), treize cents
40, quarante
100, cent
1900 (date), dix-neuf cents
8, huit
4, quatre
5, cinq
2000, deux mille
18, dix-huit
7, sept
1916 (date), dix-neuf cent seize
71, soixante et onze
1600 (date), seize cents
1500 (date), quinze cents
80, quatre-vingts
79, soixante-dix-neuf
1_000, mille
1, un
1700 (date), dix-sept cents
20, vingt
19, dix-neuf
0, zéro
7 plus 5 equals 12, sept plus cinq égale douze
7 minus 5 equals 2, sept moins cinq égale deux
10 divided by 5 equals 2, dix divisé par cinq égale deux
10 times 5 equals 50, dix fois cinq égale cinquante
9 times 3 makes 27, neuf fois trois font vingt-sept
a third, un tiers
a half, un demi
a fourth, un quart
a fifth, un cinquième
a sixth, un sixième
