the hammer, le marteau
the screw, la vis
the bolt, le boulon
the nail, le clou
the nut, l'écrou, m
the welding machine, la machine à souder
the weld, la soudure
the hinge, la charnière
the clamp, la pince
the pliers, la pince
the grinder, le broyeur
the screwdriver, le tournevis
the drill, la perceuse
the impact drill, la visseuse à percussion
the drill bit, le foret
the stainless, l'inox, m
the steel, l'acier, m
the stainless steel, l'acier inoxydable, m
the rust, la rouille
the nailgun, la cloueuse
a staple, une agrafe
the wire brush, la brosse métallique
the vise, le serre-joint
a gap, un écart
narrow (m.), étroit
narrow (f.), étroite
wide (m./f.), large
to weld, souder
to drill, percer
to hammer, marteler
the safety glasses, les lunettes de protection, f
the earmuffs, les cache-oreilles, m
the ruler, la règle
straight (m.), droit
straight (f.), droite
square (adj. m.), carré
square (adj. f.), carrée
the square, le carré
the circle, le cercle
