the sweat, la sueur
the ankle, la cheville
the poop, la merde
the hip, la hanche
the stomach, l'estomac, m
the abdomen, le ventre
to sneeze, éternuer
the feces, les excréments, m
the toe, l'orteil, m
the fingernail, l'ongle, m
the buttock, la fesse
the roof of the mouth, le palais de la bouche
the cheek, la joue
to defacate, déféquer
to burp, roter
the gums, les gencives, f
the thigh, la cuisse
the kneecap, la rotule
the tricep, le triceps
the bicep, le biceps
the vein, la veine
the neck, le cou
the head, la tête
to shit, chier
the blood, le sang
the heel, le talon
the foot, le pied
the shin, le tibia
the quad, le quadriceps
the lip, la lèvre
the knee, le genou
to stretch, s'étirer
the urine, les urines, f
the butt, le cul
the sternum, le sternum
the pore, le pore
