the elbow, le coude
the pelvic floor, le plancher pelvien
the anus, l'anus, m
the orgasm, l'orgasme, m
the semen, le sperme
the erection, l'érection, f
the vagina, le vagin
the clitoris, le clitoris
the scrotum, le scrotum
the ovary, l'ovaire, m
the testicle, le testicule
the penis, le pénis
the pelvis, le bassin
the tattoo, le tatouage
the shoulder blade, l'omoplate, f
to flex (a muscle; functionally), contracter
to flex (to show off), montrer les muscles, m
the torso, le torse
the hand, la main
the scar, la cicatrice
the freckle, la tache de rousseur
the mole (skin), le grain de beauté
the pinky finger, le petit doigt
the ring finger, l'annulaire, m
the middle finger, le majeur
the index finger, l'index, m
the thumb, le pouce
the knuckle, l'articulation, f
the finger, le doigt
the wrist, le poignet
the forearm, l'avant-bras, m 
the lung, le poumon
the kidney, le rein
the liver, le foie
the bone, l'os, m
the mouth, la bouche
