the nipple, le mamelon
the armpit, l'aisselle, f
the arm, le bra
the spinal cord, la moelle épinière
the brain, le cerveau
the tendon, le tendon
the muscle, le muscle
the rib, la côte
the shoulder, l'épaule, f
the collarbone, la clavicule
the breast, le sein
the chest, la poitrine
the Adam's apple, la pomme d'Adam
the throat, la gorge
the mucus, le mucus
the saliva, la salive
the tongue, la langue
the tooth, la dent
the jaw, la mâchoire
the skull, la crâne
the earwax, le cérumen
the booger, la crotte de nez
the nostril, la narine
the earlobe, la lobe de l'oreille, f
the nape of the neck, la nuque
the ear, l'oreille, f
the pimple, le bouton
the scalp, le cuir chevelu
the forehead, le front
the eye, l'œil, m
the nose, le nez
the skin, la peau
the vertebra, la vertèbre
the spine, la colonne vertébrale
to urinate, uriner
